PolicyNo,Issuer,CancelDate,ProcessDate,PolicyStatus,Note
1236303,Manhattan Life,7/25/2025,7/25/2025,Chargeback,
1249193,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1234136,Manhattan Life,8/12/2025,8/12/2025,Chargeback,
1246984,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1235484,Manhattan Life,7/21/2025,7/21/2025,Chargeback,
1235485,Manhattan Life,7/19/2025,7/19/2025,Chargeback,
1236816,Manhattan Life,9/26/2025,9/26/2025,Chargeback,
1236813,Manhattan Life,9/26/2025,9/26/2025,Chargeback,
1217776,Manhattan Life,8/1/2025,8/1/2025,Chargeback,
1251978,Manhattan Life,10/3/2025,10/3/2025,Chargeback,
1244636,Manhattan Life,9/1/2025,9/1/2025,Chargeback,
1231483,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1245461,Manhattan Life,9/4/2025,9/4/2025,Chargeback,
1250118,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1249345,Manhattan Life,10/2/2025,10/2/2025,Chargeback,
1247678,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1218789,Manhattan Life,8/1/2025,8/1/2025,Chargeback,
1248668,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1240656,Manhattan Life,9/1/2025,9/1/2025,Chargeback,
1244640,Manhattan Life,9/2/2025,9/2/2025,Chargeback,
1241422,Manhattan Life,9/1/2025,9/1/2025,Chargeback,
1235058,Manhattan Life,8/15/2025,8/15/2025,Chargeback,
1235059,Manhattan Life,8/15/2025,8/15/2025,Chargeback,
1251047,Manhattan Life,10/3/2025,10/3/2025,Chargeback,
1244320,Manhattan Life,9/1/2025,9/1/2025,Chargeback,
1242922,Manhattan Life,9/1/2025,9/1/2025,Chargeback,
1240798,Manhattan Life,9/1/2025,9/1/2025,Chargeback,
1238817,Manhattan Life,8/9/2025,8/9/2025,Chargeback,
1215958,Manhattan Life,8/1/2025,8/1/2025,Chargeback,
1215959,Manhattan Life,8/1/2025,8/1/2025,Chargeback,
1249804,Manhattan Life,9/25/2025,9/25/2025,Chargeback,
1247517,Manhattan Life,9/16/2025,9/16/2025,Chargeback,
1251337,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1247101,Manhattan Life,9/13/2025,9/13/2025,Chargeback,
1237993,Manhattan Life,8/1/2025,8/1/2025,Chargeback,
1246504,Manhattan Life,10/3/2025,10/3/2025,Chargeback,
1241503,Manhattan Life,8/16/2025,8/16/2025,Chargeback,
1247963,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1247521,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1224363,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1252401,Manhattan Life,10/5/2025,10/5/2025,Chargeback,
1247108,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1233834,Manhattan Life,7/25/2025,7/25/2025,Chargeback,
1219802,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1248243,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1245011,Manhattan Life,9/3/2025,9/3/2025,Chargeback,
1248237,Manhattan Life,9/18/2025,9/18/2025,Chargeback,
1233383,Manhattan Life,8/1/2025,8/1/2025,Chargeback,
1237511,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1247608,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1248079,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1247111,Manhattan Life,10/1/2025,10/1/2025,Chargeback,
1247449,Manhattan Life,12/16/2025,12/16/2025,Chargeback,
1229585,Manhattan Life,12/1/2025,12/1/2025,Chargeback,
1233607,Manhattan Life,10/10/2025,10/10/2025,Chargeback,
1248775,Manhattan Life,10/4/2025,10/4/2025,Chargeback,
