AgentID,ProcessDate,Description,Issuer,PolicyNo,UnitPrice,Quantity,Total,ApplytoNet,ApplytoForm1099,ApplytoAgentBalance,Note
19853042,11/29/2025,ACA Member Pay,,,,,"-$2,018.87",Y,Y,N,ACA Commission 11/2025
18912623,11/29/2025,ACA Member Pay,,,,,-$867.83,Y,Y,N,ACA Commission 11/2025
20072458,11/29/2025,ACA Member Pay,,,,,"-$1,424.00",Y,Y,N,ACA Commission 11/2025
20226527,11/29/2025,ACA Member Pay,,,,,"-$1,446.98",Y,Y,N,ACA Commission 11/2025
2198118,11/29/2025,ACA Member Pay,,,,,-$688.00,Y,Y,N,ACA Commission 11/2025
19675431,11/29/2025,ACA Member Pay,,,,,"-$2,090.04",Y,Y,N,ACA Commission 11/2025
19944146,11/29/2025,ACA Member Pay,,,,,"-$1,973.75",Y,Y,N,ACA Commission 11/2025
18926258,11/29/2025,ACA Member Pay,,,,,"-$1,381.31",Y,Y,N,ACA Commission 11/2025
19960720,11/29/2025,ACA Member Pay,,,,,-$850.00,Y,Y,N,ACA Commission 11/2025
19945780,11/29/2025,ACA Member Pay,,,,,-$485.00,Y,Y,N,ACA Commission 11/2025
15727243,11/29/2025,ACA Member Pay,,,,,-$20.00,Y,Y,N,ACA Commission 11/2025
21143656,11/29/2025,ACA Member Pay,,,,,-$154.00,Y,Y,N,ACA Commission 11/2025
18703143,11/29/2025,ACA Member Pay,,,,,-$23.00,Y,Y,N,ACA Commission 11/2025
9894263,11/29/2025,ACA Member Pay,,,,,-$163.00,Y,Y,N,ACA Commission 11/2025
16441409,11/29/2025,Miscellaneous,,,,,-$400.00,Y,Y,N,Repayment - Monitors
